age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,y
25,student,single,unknown,no,480,no,no,cellular,8,sep,140,yes
28,services,married,secondary,no,510,yes,yes,cellular,8,jul,1767,yes
39,management,single,tertiary,no,0,yes,no,cellular,22,may,271,yes
45,housemaid,married,secondary,no,360,no,no,cellular,3,nov,215,yes
53,retired,married,tertiary,no,1691,no,no,unknown,13,may,916,no
38,blue-collar,married,secondary,no,1165,yes,no,cellular,13,aug,784,yes
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,no
34,management,divorced,tertiary,no,500,yes,no,unknown,29,may,399,no
31,management,married,tertiary,no,1812,no,no,cellular,12,aug,112,no
30,technician,single,secondary,no,-232,no,yes,cellular,7,aug,118,no
31,blue-collar,single,secondary,no,953,yes,no,cellular,14,may,479,yes
22,student,single,secondary,no,216,no,no,cellular,6,aug,178,yes
26,management,single,tertiary,no,1646,no,no,cellular,12,apr,524,yes
53,admin.,married,primary,no,228,yes,no,unknown,16,may,97,no
27,blue-collar,single,tertiary,no,567,no,no,cellular,25,nov,238,yes
30,technician,single,secondary,no,1165,no,no,cellular,4,jun,204,yes
31,blue-collar,divorced,secondary,no,-277,yes,no,telephone,17,jul,1008,yes
32,blue-collar,single,primary,no,354,no,no,cellular,23,jul,284,no
55,management,divorced,tertiary,no,0,no,no,cellular,22,oct,360,yes
41,blue-collar,married,primary,no,201,yes,no,cellular,4,feb,69,no
48,admin.,divorced,secondary,no,362,no,no,cellular,13,aug,529,yes
27,services,married,primary,no,91,yes,no,unknown,8,may,168,no
37,technician,married,tertiary,no,549,no,no,cellular,2,mar,239,yes
32,technician,single,unknown,no,491,no,no,cellular,8,oct,251,yes
50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,yes
29,blue-collar,married,secondary,no,47,yes,yes,cellular,15,may,245,no
77,retired,married,tertiary,no,7802,no,no,telephone,1,feb,483,yes
45,admin.,married,secondary,no,3006,no,no,cellular,29,apr,388,yes
43,technician,single,unknown,no,11115,no,no,cellular,23,oct,476,yes
29,management,single,secondary,no,703,yes,no,cellular,16,nov,236,yes
32,technician,married,secondary,no,484,yes,no,cellular,12,aug,668,yes
40,management,divorced,tertiary,no,490,yes,no,unknown,7,may,477,no
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,yes
37,blue-collar,single,secondary,no,5024,no,yes,cellular,25,jul,661,yes
64,retired,married,tertiary,no,846,no,no,cellular,11,feb,671,yes
32,blue-collar,married,secondary,no,944,no,no,cellular,13,may,231,no
37,blue-collar,married,primary,no,20,no,yes,telephone,15,jul,469,no
30,management,single,tertiary,no,5074,yes,no,cellular,25,jul,153,no
40,management,married,tertiary,no,558,no,no,cellular,28,aug,50,no
28,management,single,tertiary,no,1825,no,no,cellular,9,mar,236,yes
46,housemaid,married,secondary,no,38,no,no,cellular,27,may,181,yes
25,self-employed,single,tertiary,no,42,yes,no,cellular,3,mar,320,yes
69,retired,married,secondary,no,0,no,no,cellular,27,jul,666,yes
25,student,single,secondary,no,348,no,no,cellular,10,aug,245,yes
77,retired,divorced,secondary,no,0,no,no,cellular,25,sep,210,yes
30,blue-collar,single,secondary,no,49,no,no,cellular,30,jan,808,yes
32,blue-collar,single,secondary,no,4339,yes,yes,cellular,27,may,76,no
42,entrepreneur,divorced,secondary,no,335,yes,no,cellular,12,may,580,yes
63,retired,married,secondary,no,1612,no,no,telephone,17,feb,233,yes
33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,yes
43,blue-collar,married,primary,no,3917,no,no,cellular,2,mar,154,yes
53,unemployed,married,secondary,no,582,yes,no,unknown,8,may,96,no
38,admin.,married,secondary,no,257,yes,no,cellular,15,may,10,no
37,student,single,unknown,no,444,no,no,cellular,4,may,1063,yes
48,services,married,secondary,no,2739,no,no,telephone,23,jul,173,no
27,services,single,secondary,no,353,yes,no,cellular,15,may,663,yes
47,blue-collar,married,secondary,no,238,yes,yes,cellular,13,mar,3076,yes
35,management,married,tertiary,no,46,yes,no,cellular,13,aug,96,no
35,blue-collar,married,secondary,no,3188,yes,no,cellular,30,jul,288,no
31,technician,single,tertiary,no,882,no,no,cellular,4,sep,293,yes
38,blue-collar,married,primary,no,315,yes,no,unknown,27,may,173,no
32,services,single,secondary,no,0,no,yes,cellular,11,jul,333,no
41,admin.,divorced,secondary,no,110,yes,yes,cellular,5,feb,76,no
38,technician,single,secondary,no,145,yes,no,unknown,27,may,109,no
47,blue-collar,single,secondary,no,1976,no,yes,cellular,20,nov,82,no
45,blue-collar,married,primary,no,959,yes,no,unknown,15,may,463,no
21,student,single,secondary,no,2488,no,no,cellular,12,oct,180,yes
71,retired,married,tertiary,no,1486,no,no,telephone,21,apr,110,no
29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,yes
32,management,single,tertiary,no,312,no,no,cellular,7,aug,37,no
35,management,married,tertiary,no,8,no,no,cellular,23,apr,93,yes
26,technician,single,secondary,no,507,no,no,cellular,30,apr,380,yes
39,blue-collar,married,secondary,no,293,yes,no,unknown,23,may,160,no
40,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531,yes
44,self-employed,married,unknown,no,163,yes,no,cellular,4,may,364,yes
35,management,single,tertiary,no,205,yes,no,unknown,16,may,512,no
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,yes
36,self-employed,single,tertiary,no,3560,no,no,unknown,2,jun,409,no
30,technician,single,secondary,no,853,no,no,cellular,29,oct,279,yes
83,retired,divorced,primary,no,46,no,no,cellular,25,mar,115,yes
41,unemployed,married,tertiary,no,0,no,no,cellular,29,apr,882,yes
25,admin.,single,secondary,no,82,no,yes,cellular,7,apr,104,yes
41,self-employed,divorced,tertiary,no,1256,no,no,telephone,9,feb,147,no
59,retired,married,secondary,no,566,no,no,cellular,12,aug,464,no
50,management,married,secondary,no,1165,no,no,cellular,16,jul,455,yes
42,management,married,tertiary,no,477,yes,no,unknown,5,jun,517,no
33,technician,married,secondary,no,264,no,no,cellular,28,aug,180,no
39,management,single,tertiary,no,763,no,no,cellular,22,feb,543,yes
36,admin.,single,secondary,no,0,yes,no,cellular,14,jul,80,no
31,management,married,tertiary,no,1032,no,no,cellular,7,jul,284,yes
58,services,divorced,secondary,no,739,yes,no,cellular,20,apr,304,no
38,housemaid,single,tertiary,no,0,no,no,cellular,3,jun,137,no
35,blue-collar,married,secondary,no,563,no,yes,cellular,4,jun,147,yes
34,technician,married,secondary,no,6,yes,no,unknown,28,may,99,no
78,retired,divorced,primary,no,1389,no,no,cellular,8,apr,335,yes
28,blue-collar,married,secondary,no,61,yes,no,cellular,4,may,226,yes
24,student,single,tertiary,no,235,no,no,cellular,9,feb,98,yes
43,technician,married,secondary,no,136,no,no,cellular,25,aug,363,yes
46,management,divorced,tertiary,no,1297,no,no,cellular,11,aug,716,yes
24,admin.,single,secondary,no,926,yes,yes,cellular,15,may,191,no
25,technician,single,secondary,no,7103,yes,no,cellular,28,may,188,yes
49,admin.,married,secondary,no,635,no,no,cellular,25,aug,220,no
30,management,married,tertiary,no,357,yes,no,cellular,8,apr,78,no
49,management,married,tertiary,no,2881,no,no,cellular,2,mar,120,yes
32,services,divorced,secondary,no,453,yes,no,cellular,17,apr,329,no
49,management,married,tertiary,no,1,no,no,telephone,4,may,1076,yes
55,blue-collar,married,secondary,no,644,no,no,cellular,21,aug,42,no
54,blue-collar,married,secondary,yes,381,yes,yes,telephone,16,jul,198,no
69,retired,married,primary,no,2398,no,no,cellular,12,apr,161,no
38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,yes
